"신청_ID","행사_ID","이름","신청상태","신청일","인화체험","식음료"
"A001","E04","가상학생001","확정","2026-09-01","신청","신청"
"A002","E04","가상학생002","확정","2026-09-01","신청","신청"
"A003","E04","가상학생003","확정","2026-09-01","신청","신청"
"A004","E04","가상학생004","확정","2026-09-01","미신청","신청"
"A005","E04","가상학생005","확정","2026-09-01","신청","받지않음"
"A006","E04","가상학생006","확정","2026-09-01","신청","신청"
"A007","E04","가상학생007","확정","2026-09-01","신청","신청"
"A008","E04","가상학생008","확정","2026-09-01","미신청","신청"
"A009","E04","가상학생009","확정","2026-09-01","신청","신청"
"A010","E04","가상학생010","확정","2026-09-01","신청","받지않음"
"A011","E04","가상학생011","확정","2026-09-01","신청","신청"
"A012","E04","가상학생012","확정","2026-09-01","미신청","신청"
"A013","E04","가상학생013","확정","2026-09-01","신청","신청"
"A014","E04","가상학생014","확정","2026-09-01","신청","신청"
"A015","E04","가상학생015","확정","2026-09-01","신청","받지않음"
"A016","E04","가상학생016","확정","2026-09-02","미신청","신청"
"A017","E04","가상학생017","확정","2026-09-02","신청","신청"
"A018","E04","가상학생018","확정","2026-09-02","신청","신청"
"A019","E04","가상학생019","확정","2026-09-02","신청","신청"
"A020","E04","가상학생020","확정","2026-09-02","미신청","받지않음"
"A021","E04","가상학생021","확정","2026-09-02","신청","신청"
"A022","E04","가상학생022","확정","2026-09-02","신청","신청"
"A023","E04","가상학생023","확정","2026-09-02","신청","신청"
"A024","E04","가상학생024","확정","2026-09-02","미신청","신청"
"A025","E04","가상학생025","확정","2026-09-02","신청","받지않음"
"A026","E04","가상학생026","확정","2026-09-02","신청","신청"
"A027","E04","가상학생027","확정","2026-09-02","신청","신청"
"A028","E04","가상학생028","확정","2026-09-02","미신청","신청"
"A029","E04","가상학생029","확정","2026-09-02","신청","신청"
"A030","E04","가상학생030","확정","2026-09-02","신청","받지않음"
"A031","E04","가상학생031","확정","2026-09-03","신청","신청"
"A032","E04","가상학생032","확정","2026-09-03","미신청","신청"
"A033","E04","가상학생033","확정","2026-09-03","신청","신청"
"A034","E04","가상학생034","확정","2026-09-03","신청","신청"
"A035","E04","가상학생035","확정","2026-09-03","신청","받지않음"
"A036","E04","가상학생036","확정","2026-09-03","미신청","신청"
"A037","E04","가상학생037","확정","2026-09-03","신청","신청"
"A038","E04","가상학생038","확정","2026-09-03","신청","신청"
"A039","E04","가상학생039","확정","2026-09-03","신청","신청"
"A040","E04","가상학생040","확정","2026-09-03","미신청","받지않음"
"A041","E04","가상학생041","확정","2026-09-03","신청","신청"
"A042","E04","가상학생042","확정","2026-09-03","신청","신청"
"A043","E04","가상학생043","확정","2026-09-03","신청","신청"
"A044","E04","가상학생044","확정","2026-09-03","미신청","신청"
"A045","E04","가상학생045","확정","2026-09-03","신청","받지않음"
"A046","E04","가상학생046","확정","2026-09-04","신청","신청"
"A047","E04","가상학생047","확정","2026-09-04","신청","신청"
"A048","E04","가상학생048","확정","2026-09-04","미신청","신청"
"A049","E04","가상학생049","확정","2026-09-04","신청","신청"
"A050","E04","가상학생050","확정","2026-09-04","신청","받지않음"
"A051","E04","가상학생051","확정","2026-09-04","신청","신청"
"A052","E04","가상학생052","확정","2026-09-04","미신청","신청"
"A053","E04","가상학생053","확정","2026-09-04","신청","신청"
"A054","E04","가상학생054","확정","2026-09-04","신청","신청"
"A055","E04","가상학생055","확정","2026-09-04","신청","받지않음"
"A056","E04","가상학생056","확정","2026-09-04","미신청","신청"
"A057","E04","가상학생057","확정","2026-09-04","신청","신청"
"A058","E04","가상학생058","확정","2026-09-04","신청","신청"
"A059","E04","가상학생059","확정","2026-09-04","신청","신청"
"A060","E04","가상학생060","확정","2026-09-04","미신청","받지않음"
"A061","E04","가상학생061","확정","2026-09-05","신청","신청"
"A062","E04","가상학생062","확정","2026-09-05","신청","신청"
"A063","E04","가상학생063","확정","2026-09-05","신청","신청"
"A064","E04","가상학생064","확정","2026-09-05","미신청","신청"
"A065","E04","가상학생065","확정","2026-09-05","신청","받지않음"
"A066","E04","가상학생066","확정","2026-09-05","신청","신청"
"A067","E04","가상학생067","확정","2026-09-05","신청","신청"
"A068","E04","가상학생068","확정","2026-09-05","미신청","신청"
"A069","E04","가상학생069","확정","2026-09-05","신청","신청"
"A070","E04","가상학생070","확정","2026-09-05","신청","받지않음"
"A071","E04","가상학생071","확정","2026-09-05","신청","신청"
"A072","E04","가상학생072","확정","2026-09-05","미신청","신청"
"A073","E04","가상학생073","확정","2026-09-05","신청","신청"
"A074","E04","가상학생074","확정","2026-09-05","신청","신청"
"A075","E04","가상학생075","확정","2026-09-05","신청","받지않음"
"A076","E04","가상학생076","확정","2026-09-06","미신청","신청"
"A077","E04","가상학생077","확정","2026-09-06","신청","신청"
"A078","E04","가상학생078","확정","2026-09-06","신청","신청"
"A079","E04","가상학생079","확정","2026-09-06","신청","신청"
"A080","E04","가상학생080","확정","2026-09-06","미신청","받지않음"
"A081","E04","가상학생081","확정","2026-09-06","신청","신청"
"A082","E04","가상학생082","확정","2026-09-06","신청","신청"
"A083","E04","가상학생083","확정","2026-09-06","신청","신청"
"A084","E04","가상학생084","확정","2026-09-06","미신청","신청"
"A085","E04","가상학생085","확정","2026-09-06","신청","받지않음"
"A086","E04","가상학생086","확정","2026-09-06","신청","신청"
"A087","E04","가상학생087","확정","2026-09-06","신청","신청"
"A088","E04","가상학생088","확정","2026-09-06","미신청","신청"
"A089","E04","가상학생089","확정","2026-09-06","신청","신청"
"A090","E04","가상학생090","확정","2026-09-06","신청","받지않음"
"A091","E04","가상학생091","확정","2026-09-07","신청","신청"
"A092","E04","가상학생092","확정","2026-09-07","미신청","신청"
"A093","E04","가상학생093","확정","2026-09-07","신청","신청"
"A094","E04","가상학생094","확정","2026-09-07","신청","신청"
"A095","E04","가상학생095","확정","2026-09-07","신청","받지않음"
"A096","E04","가상학생096","확정","2026-09-07","미신청","신청"
"A097","E04","가상학생097","확정","2026-09-07","신청","신청"
"A098","E04","가상학생098","확정","2026-09-07","신청","신청"
"A099","E04","가상학생099","확정","2026-09-07","신청","신청"
"A100","E04","가상학생100","확정","2026-09-07","미신청","받지않음"
"A101","E04","가상학생101","확정","2026-09-07","신청","신청"
"A102","E04","가상학생102","확정","2026-09-07","신청","신청"
"A103","E04","가상학생103","확정","2026-09-07","신청","신청"
"A104","E04","가상학생104","확정","2026-09-07","미신청","신청"
"A105","E04","가상학생105","확정","2026-09-07","신청","받지않음"
"A106","E04","가상학생106","확정","2026-09-08","신청","신청"
"A107","E04","가상학생107","확정","2026-09-08","신청","신청"
"A108","E04","가상학생108","확정","2026-09-08","미신청","신청"
"A109","E04","가상학생109","확정","2026-09-08","신청","신청"
"A110","E04","가상학생110","확정","2026-09-08","신청","받지않음"
"A111","E04","가상학생111","확정","2026-09-08","신청","신청"
"A112","E04","가상학생112","확정","2026-09-08","미신청","신청"
"A113","E04","가상학생113","확정","2026-09-08","신청","신청"
"A114","E04","가상학생114","확정","2026-09-08","신청","신청"
"A115","E04","가상학생115","확정","2026-09-08","신청","받지않음"
"A116","E04","가상학생116","확정","2026-09-08","미신청","신청"
"A117","E04","가상학생117","확정","2026-09-08","신청","신청"
"A118","E04","가상학생118","확정","2026-09-08","신청","신청"
"A119","E04","가상학생119","확정","2026-09-08","신청","신청"
"A120","E04","가상학생120","확정","2026-09-08","미신청","받지않음"
"A121","E04","가상학생121","확정","2026-09-09","신청","신청"
"A122","E04","가상학생122","확정","2026-09-09","신청","신청"
"A123","E04","가상학생123","확정","2026-09-09","신청","신청"
"A124","E04","가상학생124","확정","2026-09-09","미신청","신청"
"A125","E04","가상학생125","확정","2026-09-09","신청","받지않음"
"A126","E04","가상학생126","확정","2026-09-09","신청","신청"
"A127","E04","가상학생127","확정","2026-09-09","신청","신청"
"A128","E04","가상학생128","확정","2026-09-09","미신청","신청"
"A129","E04","가상학생129","확정","2026-09-09","신청","신청"
"A130","E04","가상학생130","확정","2026-09-09","신청","받지않음"
"A131","E04","가상학생131","확정","2026-09-09","신청","신청"
"A132","E04","가상학생132","확정","2026-09-09","미신청","신청"
"A133","E04","가상학생133","확정","2026-09-09","신청","신청"
"A134","E04","가상학생134","확정","2026-09-09","신청","신청"
"A135","E04","가상학생135","확정","2026-09-09","신청","받지않음"
"A136","E04","가상학생136","확정","2026-09-10","미신청","신청"
"A137","E04","가상학생137","확정","2026-09-10","신청","신청"
"A138","E04","가상학생138","확정","2026-09-10","신청","신청"
"A139","E04","가상학생139","확정","2026-09-10","신청","신청"
"A140","E04","가상학생140","확정","2026-09-10","미신청","받지않음"
"A141","E04","가상학생141","대기","2026-09-10","신청","신청"
"A142","E04","가상학생142","대기","2026-09-10","신청","신청"
"A143","E04","가상학생143","대기","2026-09-10","신청","신청"
"A144","E04","가상학생144","대기","2026-09-10","미신청","신청"
"A145","E04","가상학생145","대기","2026-09-10","신청","받지않음"
"A146","E04","가상학생146","대기","2026-09-10","신청","신청"
"A147","E04","가상학생147","대기","2026-09-10","신청","신청"
"A148","E04","가상학생148","대기","2026-09-10","미신청","신청"
"A149","E04","가상학생149","대기","2026-09-10","신청","신청"
"A150","E04","가상학생150","대기","2026-09-10","신청","받지않음"
"A151","E04","가상학생151","대기","2026-09-11","신청","신청"
"A152","E04","가상학생152","대기","2026-09-11","미신청","신청"
"A153","E04","가상학생153","대기","2026-09-11","신청","신청"
"A154","E04","가상학생154","대기","2026-09-11","신청","신청"
"A155","E04","가상학생155","대기","2026-09-11","신청","받지않음"
"A156","E04","가상학생156","대기","2026-09-11","미신청","신청"
"A157","E04","가상학생157","대기","2026-09-11","신청","신청"
"A158","E04","가상학생158","대기","2026-09-11","신청","신청"
"A159","E04","가상학생159","대기","2026-09-11","신청","신청"
"A160","E04","가상학생160","대기","2026-09-11","미신청","받지않음"
